Time,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,ATTACK
11:59:29.418,0.0261,1.6,0.0163,0.588,3.97,5.54,0.282,0.314,0.00451,0.00628,0
10:36:19.344,0.0972,0.633,0.153,0.998,5.56,9.31,0.403,0.451,0.00333,0.00558,1
10:35:41.260,0.0177,0.24,0.0737,1.04,1.72,1.93,0.113,0.211,0.00576,0.00649,1
12:21:35.466,0.00061,0.215,0.00283,1.13,0.00972,0.0424,0.746,0.327,0.00265,0.0116,0
11:36:55.626,0.00161,0.179,0.009,0.862,0.057,0.121,0.513,0.338,0.00591,0.0126,0
10:42:45.340,0.0848,1.06,0.0802,0.931,8.3,12.5,0.334,0.392,0.00581,0.00872,0
12:21:23.450,0.000384,0.144,0.00267,1.12,0.00897,0.0332,0.689,0.362,0.00389,0.0144,0
11:33:22.018,0.00165,0.275,0.006,0.446,0.0435,0.0883,0.495,0.406,0.00438,0.00889,0
12:21:15.441,0.000597,0.213,0.0028,1.12,0.00982,0.0409,0.735,0.327,0.00274,0.0114,0
12:20:17.122,0.000151,0.13,0.00116,1.1,0.00559,0.0097,0.37,0.385,0.00618,0.0107,0
10:35:26.736,0.0527,0.536,0.0984,1.02,2.25,4.48,0.498,0.43,0.00253,0.00504,1
12:21:46.479,0.000451,0.169,0.00267,1.12,0.00697,0.0378,0.789,0.364,0.00257,0.0139,0
12:20:20.136,0.453,1.51,0.3,1.1,0.21,1.49,0.855,0.936,0.0000771,0.000547,0
12:22:04.504,0.000402,0.165,0.00243,1.12,0.00737,0.0343,0.752,0.356,0.00305,0.0142,0
10:15:44.559,0.105,1.05,0.0998,0.888,9.53,13.6,0.298,0.355,0.00537,0.00765,0
10:35:37.754,0.0193,0.259,0.0747,1.04,1.72,2.01,0.146,0.294,0.00527,0.00617,1
11:55:22.170,0.00146,0.616,0.00237,0.577,0.0317,0.3,0.894,0.543,0.000646,0.0061,0
10:35:42.763,0.0549,0.541,0.102,1.05,3.16,5.49,0.424,0.359,0.00342,0.00593,1
11:33:05.979,0.000725,0.203,0.00357,0.372,0.0242,0.0493,0.473,0.354,0.00554,0.0113,0
10:42:41.820,0.0636,1.06,0.0599,1.07,7.83,10.6,0.264,0.318,0.00731,0.00992,0
12:21:24.451,0.000389,0.15,0.00259,1.12,0.00846,0.0335,0.71,0.35,0.00362,0.0143,0
12:20:01.628,0.00409,0.696,0.00587,0.327,0.0365,0.0966,0.611,0.448,0.00149,0.00393,0
11:54:16.109,0.000297,0.464,0.000639,0.572,0.00214,0.0553,0.961,0.426,0.000214,0.00553,0
11:36:38.601,0.0644,0.351,0.183,0.959,0.809,2.06,0.589,0.467,0.00209,0.00533,1
10:16:38.155,0.0625,1.26,0.0497,0.789,5.72,7.63,0.251,0.341,0.00542,0.00724,0
10:16:40.163,0.0418,1.36,0.0307,0.627,2.84,4.22,0.327,0.405,0.00402,0.00598,0
11:34:50.464,0.0534,0.241,0.222,1.11,0.894,2.47,0.621,0.414,0.00278,0.0077,0
11:59:49.435,0.000286,0.461,0.00062,0.571,0.00116,0.0564,0.979,0.414,0.00012,0.00585,0
10:42:45.852,0.0757,1.18,0.0643,0.946,8.1,10,0.191,0.282,0.00635,0.00785,0
11:55:02.150,0.000292,0.462,0.000632,0.574,0.000979,0.0542,0.982,0.415,0.0000994,0.0055,0
10:36:14.819,0.0482,0.487,0.099,0.988,3.31,4.84,0.317,0.437,0.00407,0.00596,1
12:00:12.457,0.00229,1.24,0.00186,0.583,0.136,0.26,0.475,0.324,0.00176,0.00336,0
11:56:00.203,0.00341,1.14,0.00298,0.572,0.0602,0.257,0.766,0.528,0.000524,0.00224,0
12:01:13.519,0.000288,0.46,0.000626,0.571,0.00189,0.0558,0.966,0.418,0.000195,0.00575,0
10:16:20.626,0.0577,1.54,0.0373,0.742,3.29,4.64,0.291,0.479,0.00339,0.00478,0
12:20:37.322,0.000474,0.182,0.0026,1.13,0.00647,0.0348,0.79,0.374,0.00227,0.0122,0
11:33:39.052,0.000801,0.184,0.00437,0.53,0.031,0.0533,0.397,0.353,0.00643,0.0111,0
10:16:58.715,0.109,1.23,0.0886,0.922,11.6,13.9,0.164,0.282,0.00625,0.00747,0
10:42:44.839,0.0542,1.3,0.0416,0.821,7.76,9.42,0.177,0.365,0.00825,0.01,0
12:20:35.320,0.000843,0.236,0.00357,1.12,0.0125,0.0539,0.741,0.332,0.00246,0.0106,0
12:01:23.528,0.000283,0.462,0.000612,0.573,0.000872,0.0532,0.984,0.423,0.0000915,0.00559,0
12:20:17.122,0.000151,0.13,0.00116,1.1,0.00559,0.0097,0.37,0.385,0.00618,0.0107,0
11:59:32.421,0.000408,0.483,0.000845,0.64,0.016,0.0816,0.803,0.394,0.00117,0.00593,0
12:01:05.512,0.0027,1.05,0.00257,0.616,0.164,0.361,0.547,0.588,0.0018,0.00396,0
11:57:12.279,0.0743,1.54,0.0484,0.678,8.41,11.8,0.29,0.366,0.00336,0.00473,0
10:24:56.855,0.141,0.754,0.187,0.947,14.6,19.9,0.27,0.359,0.00614,0.0084,1
